product_name,revenue,pctMargin,margin
Difusor de aromas,39655.448,38.4020576441351,15228.508
Mochila v2,35789.737,23.7414345905923,8496.997
Hub USB v2,33802.56,48.069761580188,16248.81
Kit de skincare,33415.281,30.9280086556806,10334.681
SSD externo v3,32819.516,25.5936924846789,8399.726
Power bank v3,30408.607,42.8730819534088,13037.107
Perfume 50ml v2,30365.088,52.6529941227241,15988.128
Plancha de cabello v2,29782.641,27.6466113263763,8233.891
Agenda 2026,29533.401,23.8364047540613,7039.701
Jean recto v2,28156.176,39.6535594890443,11164.926
SSD externo,28005.675,34.4909558509124,9659.425
Medias pack x3 v2,27246.082,26.1879194226898,7135.182
Parlante Bluetooth v2,26832.625,44.7890767302864,12018.085
Perfume 50ml,26452.77,32.286282306163,8540.616
Organizador,26362.7,31.2915596657399,8249.3
Parlante Bluetooth,26214.0145,30.7439537732765,8059.2245
Cuerda para saltar,25777.272,24.4424313014969,6300.592
Plancha de cabello,25335.31,38.2247148347504,9684.35
Cargador USB-C,25267.777,26.1476781277593,6606.937
Set de brochas v2,24399.024,53.1324695610775,12963.804
Silla plegable,24183.224,32.0438002807235,7749.224
Lámpara LED v3,24080.509,41.5743246955453,10011.309
Botella térmica v2,23034.72,25.1054495127356,5782.97
Colchoneta yoga,22621.06,42.7142229409232,9662.41
Cargador USB-C v2,22569.615,46.9653337019705,10599.895
Crema hidratante v3,22439.835,33.2602935805901,7463.555
Remera básica v2,22254.52,32.8413284132841,7308.68
Webcam,21258.225,37.865837811012,8049.605
Espejo decorativo,21212.796,51.5191208174538,10928.646
Cafetera,21209.8375,40.4532920160279,8580.0775
Campera impermeable,20593.68,45.6070017597632,9392.16
Medias pack x3,20314.5885,35.5655173620672,7224.9885
Kit de skincare v3,20035.553,29.5247802743453,5915.453
Resaltadores pack x5 v3,19202.3975,32.8616908383445,6310.2325
Organizador v3,18561.0725,53.162297060151,9867.4925
Cuaderno A5 v2,18541.558,42.7429992668362,7925.218
Mancuernas ajustables,18363.807,45.5779512385422,8369.847
Zapatillas urbanas,18069.2025,22.5789848777222,4079.8425
Resaltadores pack x5,17949.904,32.7787769784173,5883.759
Mouse,17858.918,37.9931079811218,6785.158
Zapatillas urbanas v2,17398.4975,45.5897844052338,7931.9375
Guantes de entrenamiento v2,17298.8255,25.7231654253059,4449.8055
Set de sábanas,17146.74,39.4126813610051,6757.99
Cafetera v3,17078.72,44.8474475838939,7659.37
Cartuchera,16686.891,33.0711754514367,5518.551
Secador de pelo,16526.328,43.4905321980781,7187.388
Gorra,16152.261,32.4848700748459,5247.041
Cartuchera v2,15949.55,24.752234389058,3947.87
Teclado mecánico v2,15900.2725,45.4117531633499,7220.5925
Cafetera v2,15480.514,46.3749071897742,7179.074
Jean recto v3,14915.3565,43.7715082438693,6528.6765
Lámpara LED,14580.874,33.4359517817656,4875.254
Organizador v2,14464.548,45.7062882296771,6611.208
Teclado mecánico v3,14150.814,32.1644677118928,4551.534
Auriculares v2,14066.624,22.8829888393974,3218.864
Mochila v3,13985.825,23.557602072098,3294.725
Resaltadores pack x5 v2,13983.095,49.5998561119695,6935.595
Remera básica,13669.108,49.1805902769954,6722.548
Power bank,13309.575,25.3181262361871,3369.735
Guantes de entrenamiento,12925.305,43.8821753142382,5671.905
Set de ollas v3,12561.132,37.772805826736,4744.692
Mouse v2,12432.7775,48.5778620264056,6039.5775
Botella térmica v3,11889.9,30.9703193466724,3682.34
Set de ollas v2,11764.742,29.8068754928922,3506.702
Cuerda para saltar v2,11519.111,35.3554280360698,4072.631
Cargador USB-C v3,11401.7355,27.1296900371001,3093.2555
Plancha de cabello v3,11374.374,39.5109568227667,4494.124
Crema hidratante,10827.1215,52.2139841138755,5653.2715
Campera impermeable v2,10826.403,46.3518030873227,5018.233
Buzo canguro v2,10700.694,44.1565191939887,4725.054
SSD externo v2,10577.073,22.8873621274997,2420.813
Set de ollas,10347.129,30.5372533772412,3159.729
Crema hidratante v2,10186.1155,30.3024788988501,3086.6455
Cartuchera v3,9562.539,41.0119007096337,3921.779
Cuerda para saltar v3,9009.984,41.6283092178632,3750.704
Set de brochas v3,8581.928,33.5464012282555,2878.928
Lámpara LED v2,8556.0915,34.1905121047385,2925.3715
Set de brochas,8163.315,25.4284564542713,2075.805
Hub USB,7724.936,33.6932241250931,2602.78
Jean recto,7688.2365,35.1726498007703,2704.1565
Auriculares,7619.304,50.4088562419875,3840.804
Aspiradora portátil,7402.723,32.9807423565626,2441.473
Power bank v2,7371.924,23.3063173196034,1718.124
Teclado mecánico,6387.563,32.0196137400132,2045.273
Set de birom,4560.2495,32.5496554519659,1484.3455
Kit de skincare v2,4320.7755,46.6102786409523,2013.9255
Cuaderno A5,3609.485,46.6073414905451,1682.285
Difusor de aromas v2,3142.9695,37.0318420207387,1163.8995
Buzo canguro,2223.046,38.9126450824679,865.046
Botella térmica,2137.944,28.1552744131745,601.944
Mochila,2100.7485,52.5978478623214,1104.9485
Gorra v2,989.147,31.8867670831535,315.407
Banda elástica,809.1645,50.0151081763968,404.7045
Smartwatch,702.5685,23.4807709141529,164.9685
Set de birom v2,661.606,30.0988806026547,199.136
